,공원명,면적,공원주소,lat,lng
61,봉산도시자연공원,1511198㎡,서울특별시 은평구 구산동 산61,37.604071000000005,126.90201529999999
62,온수도시자연공원,1097565㎡,서울특별시 구로구 개봉동 산2-60,37.5002598,126.83695
63,봉은공원,328018㎡,서울특별시 강남구 삼성동 75,37.5139026,127.05549609999998
64,올림픽공원,총 1447122㎡,서울특별시 송파구 올림픽로 424 (방이동),37.520934000000004,127.12295900000001
65,와룡근린공원,207790㎡ ,서울특별시 종로구 와룡공원길 192 (우) 03063,37.59079439999999,126.9901672
66,봉화산근린공원,1018689㎡,서울특별시 중랑구 묵동 산46-1,37.6106404,127.0923625
67,북악산도시자연공원,954553㎡,서울특별시 종로구 부암동 산2-6,37.5929992,126.97372949999999
68,북한산국립공원,1667848㎡,서울특별시 종로구 은평구 서대문구 성북구 강북구 도봉구 일대 경기도 의정부 양주군 고양시 일대,37.624549,127.00093799999999
69,외국인묘지공원,13224㎡,서울특별시 마포구 양화진길 46(외국인묘지공원),37.546797,126.911414
70,불광근린공원,130345㎡,서울특별시 은평구 불광동 산33-1,37.6188016,126.9298962
71,불암산도시자연공원,5332422㎡,서울특별시 노원구 한글비석로12길 51-33(불암산공원) ,37.6636719,127.09527140000002
72,용마폭포공원,5107964㎡,서울특별시 중랑구 면목동 산1-4 ,37.5731968,127.0905888
73,사육신공원,47832㎡,서울특별시 동작구 노량진로 191,37.5137049,126.94863600000001
74,용왕산근린공원,213552㎡,서울특별시 양천구 목동 199-51,37.5429593,126.8783125
75,사직근린공원,168099.87㎡,서울특별시 종로구 사직로9길 5,37.5759864,126.96740179999999
76,우장산근린공원,359435.2㎡,서울특별시 강서구 내발산동 산4-5,37.5541932,126.844932
77,삼일근린공원,36660㎡,서울특별시 동작구 사당동 산24-17,37.4860183,126.9743686
78,삼청근린공원,380735㎡ ,서울특별시 종로구 북촌로 134-1 (우) 03050,37.5895821,126.9842875
79,인왕산도시자연공원,1807420.9㎡,서울특별시 종로구 옥인동 산 3-1 ,37.5849001,126.9578438
80,상도근린공원,359342.8㎡,서울특별시 동작구 성대로6사길 27-6(상도공원) ,37.492298999999996,126.9385469
81,일자산도시자연공원,632733㎡,서울특별시 강동구 동남로 660(일자산공원),37.5431657,127.1574587
82,쌍문근린공원,328018㎡,서울특별시 도봉구 쌍문동 산80,37.6531456,127.02713159999999
83,수락산도시자연공원,6691885.3㎡,서울특별시 노원구 상계동 산3-1,37.699232,127.08136329999999
84,송파나루근린공원(석촌호수),285757㎡,서울특별시 송파구 잠실로 148 (잠실동) ,37.5069328,127.09830020000001
85,선유도근린공원,110407㎡,서울특별시 영등포구 선유로 343 (당산동 1) 선유도공원관리사무소,37.543418,126.90014
86,손기정체육공원,29682.2㎡,서울특별시 중구 손기정로 101 ,37.5560189,126.9652702
87,성북근린공원,137759㎡,서울특별시 성북구 돈암동 616-1055,37.5948509,127.0078625
88,봉제산공원,917190㎡,서울특별시 강서구 화곡동 산41-6,37.5421979,126.85178359999999
89,서울창포원,51470㎡,서울특별시 도봉구 마들로 916(서울창포원) ,37.689585,127.04793799999999
90,북서울꿈의숲,662543㎡,서울특별시 강북구 월계로 173,37.623335499999996,127.0407344
91,서서울호수공원,217946㎡,서울특별시 양천구 남부순환로64길 20 (신월동),37.5278392,126.83047890000002
92,중랑캠핑숲,179666㎥,서울특별시 중랑구 송림길 160(중랑캠핑숲)/중랑구 망우동 74(청소년체험의숲),37.6049896,127.1093075
93,솔밭근린공원,34955㎡,서울특별시 강북구 우이동 80번지 일대,37.652331,127.01162409999999
94,금천체육공원(관악산),18083㎡,서울특별시 금천구 독산동 산118-4(금천체육공원),37.468164,126.908681
95,금천폭포근린공원,4835㎡,서울특별시 금천구 시흥대로38길 61(시흥동 937-2),37.446866299999996,126.90401270000001
96,만수천공원(관악산),19650 ㎡,서울특별시 금천구 독산동 산8 일대,37.4734274,126.9090028
97,발바닥공원,7000㎡,서울특별시 도봉구 시루봉로6길 33,37.6597135,127.03198200000001
98,월천근린공원,10712㎡,서울특별시 도봉구 창동 28번지,37.647388899999996,127.0509895
99,용두근린공원,17182㎡,서울특별시 동대문구 용두동 34-1번지 일대,37.5732791,127.03900420000001
100,상암근린공원,160349.3㎡,서울특별시 마포구 상암동 1761,37.576010600000004,126.8859012
101,와우근린공원,87432.4㎡,서울특별시 마포구 창전동 3-193번지 일대(홍익대 뒷산),37.5517298,126.9289936
102,금호근린공원,13467㎡   ,서울특별시 성동구 장터1길 18,37.5494726,127.01894569999999
103,달맞이근린공원,46871㎡,서울특별시 성동구 옥수동 산1-1,37.543564,127.0212054
104,문정근린공원,49972㎡,서울특별시 송파구 문정동 18-4,37.4862156,127.12758190000001
105,문화예술공원,74385㎡,서울특별시 서초구 바우뫼로12길 40 (양재동),37.467653999999996,127.03051699999999
106,세종로공원,8868㎡ ,서울특별시 종로구 세종대로 189 (우) 03172,37.5735,126.9758875
107,샘말공원(관악산),10634㎡ ,서울특별시 관악구 대학동 산63-1일대 샘말공원,37.4642128,126.938511
108,초안산생태공원,22113㎡,서울특별시 도봉구 창동 산24,37.647948299999996,127.0405382
109,푸른수목원,,서울특별시 구로구 연동로 240(항동81-1) 푸른수목원관리사무소,37.483028999999995,126.82406999999999
110,서오능도시자연공원,1082847㎡,서울특별시 은평구 구파발동 갈현동 진관내동,37.637482299999995,126.91343379999999
111,청계산도시자연공원,3692455㎡   ,서울특별시 서초구 원지동 산 33,37.422434700000004,127.0424726
112,개화근린공원,386500㎡,서울특별시 강서구 개화동 산17,37.581391700000005,126.8068278
113,아차산생태공원,23450㎡,서울특별시 광진구 광장동 370,37.551714200000006,127.1010031
114,인능산도시자연공원,2400833㎡,서울특별시 서초구 내곡동 산12-404,37.4482109,127.0666632
115,구룡산,2752421㎡,서울특별시 서초구 염곡동 산25-1,37.468947299999996,127.061567
116,우면산도시자연공원,4180551㎡,서울특별시 서초구 우면동 산35-1,37.470484,127.0091324
117,향림근린공원,147859㎡,서울특별시 은평구 진관동 산55,37.6293824,126.9240693
118,신사근린공원,111650㎡,서울특별시 은평구 신사동 산80-4,37.5920771,126.91029479999999
119,문화역 서울284,,서울특별시 중구 통일로 1 서울역,37.5558722,126.9715923
120,광평근린공원,519782㎡ ,서울특별시 강남구 수서동 산10-1,37.4880445,127.092184
121,청담근린공원,59347㎡ ,서울특별시 강남구 청담동 66,37.521325899999994,127.052453
122,허브천문공원,25500㎡ ,서울특별시 강동구 둔촌동 산94,37.5372715,127.15339509999998
123,연신내물빛공원,2560㎡ ,서울특별시 은평구 통일로 849,37.619052,126.9207354
124,나들이근린공원,32000㎡ ,서울특별시 중구 망우동 산 30-7 일대,37.6054218,127.11326100000001
125,숭인근린공원,45615㎡ ,서울특별시 종로구 숭인동 58,37.5764419,127.0178267
126,서일대뒷산공원,631021㎡ ,서울특별시 중랑구 면목동 산19,37.5877155,127.0987817
127,용마도시자연공원(사가정공원),109635㎡ ,서울특별시 중랑구 면목7동 산50 ,37.579762200000005,127.095997
128,문화비축기지,140022㎡,서울특별시 마포구 증산로 87,37.571718477306064,126.89324548146364
129,경춘선숲길,211392㎡,노원구 공릉2동 산 82-2,37.627077,127.07648200000001
130,율현공원,157535㎡,서울특별시 강남구 율현동 밤고개로24길(율현동 56),37.472332,127.11559399999999
131,서울로7017,,서울로7017,,
